TransactionDate,Category,DailySalesAmount
2025-01-07,Accessories,312946.88
2024-11-02,Accessories,270551.51
2021-04-18,TVs,299625.46
2022-03-09,TVs,270287.86
2021-08-24,Laptops,182121.24
2022-12-29,TVs,274813.44000000006
2021-05-13,Laptops,252289.48999999996
2024-12-09,Laptops,263522.33999999997
2020-09-29,Accessories,230731.76
2021-11-16,Tablets,166006.81999999998
2025-03-24,Laptops,304333.82
2023-02-16,Tablets,223786.0
2024-02-19,Accessories,278506.43
2024-12-14,TVs,171663.27000000002
2024-02-14,TVs,309374.65
2020-09-04,Accessories,245487.40000000002
2022-11-28,Tablets,130241.01000000001
2020-11-15,Laptops,187419.07
2021-12-01,Tablets,274850.98999999993
2024-04-28,Smartphones,239518.09
2023-10-27,Smartphones,267095.81999999995
2022-02-02,Laptops,335337.45
2023-07-23,Tablets,216713.37999999998
2020-11-28,TVs,238834.93
2020-12-25,Laptops,341067.12
2022-04-14,Accessories,299473.44
2023-09-17,Tablets,237241.06999999998
2024-05-15,Smartphones,209027.84999999998
2024-05-17,Laptops,319256.82999999996
2024-05-14,Smartphones,229353.34
2024-10-20,Tablets,289716.37
2021-09-22,Smartphones,289103.25
2022-02-19,Tablets,377047.11
2023-10-25,Smartphones,230023.15
2021-07-27,Smartphones,212157.75
2020-11-13,Tablets,283279.08999999997
2024-08-23,Accessories,199201.18
2021-03-11,TVs,367830.62999999995
2024-09-01,Smartphones,256957.43999999997
2024-08-23,TVs,362345.38999999996
2024-06-01,Smartphones,321946.31
2020-07-22,Tablets,283562.93
2024-11-30,Smartphones,253735.90999999997
2024-07-31,TVs,138020.34
2023-12-19,Tablets,279257.22
2024-08-26,Laptops,240852.90999999997
2020-08-14,Smartphones,169825.16
2021-12-17,Smartphones,307291.88
2025-03-31,Smartphones,206436.68
2020-09-09,TVs,135277.94
2023-10-03,Accessories,247081.77000000002
2023-09-27,Tablets,149610.94999999998
2022-12-25,Tablets,256113.2
2021-11-24,Accessories,249505.61000000004
2021-09-05,Laptops,237113.18
2023-04-22,Accessories,244399.40999999997
2021-05-27,Laptops,266648.42000000004
2024-08-27,Accessories,118413.38999999998
2024-03-19,Tablets,328103.60000000003
2022-05-22,TVs,207934.89
2023-04-01,Laptops,310562.15
2023-11-30,Accessories,252597.05
2022-03-03,Tablets,312492.2
2025-04-21,Accessories,340400.4
2020-12-17,TVs,286170.66
2022-10-16,Accessories,273836.76999999996
2020-11-16,Accessories,315120.25000000006
2024-02-15,Accessories,213370.83000000002
2023-05-31,Smartphones,283066.58999999997
2023-10-13,Tablets,227592.63000000003
2024-06-25,TVs,278435.5
2023-03-26,Accessories,209475.59999999998
2022-10-25,Tablets,237497.19
2021-12-22,Laptops,188924.78999999998
2021-09-29,TVs,214078.27000000002
2025-02-23,Smartphones,216072.28000000003
2023-11-24,Smartphones,137745.25
2021-10-14,TVs,258916.59
2025-01-09,Tablets,294798.56000000006
2023-02-10,TVs,146406.15
2020-12-05,Accessories,390510.22000000003
2020-10-17,Accessories,247408.71999999997
2022-07-27,Tablets,180330.15000000002
2025-05-27,Laptops,305395.42
2024-11-10,Laptops,264694.6
2022-05-18,Smartphones,289478.78
2025-05-14,Accessories,338026.07000000007
2022-11-14,TVs,227058.89
2022-04-26,Smartphones,250270.2
2020-09-07,Accessories,300787.1
2023-02-18,Laptops,333373.01
2025-04-23,Tablets,330910.10000000003
2024-04-13,TVs,294564.58
2023-04-24,Smartphones,254626.64999999997
2023-01-18,Tablets,227940.12000000002
2023-09-21,TVs,185384.96999999997
2024-11-16,TVs,175814.24
2021-07-10,Tablets,172918.08999999997
2020-08-20,Accessories,291289.22000000003
2023-02-09,Smartphones,237637.24
2023-03-16,Laptops,245718.95
2022-09-15,Accessories,322832.2
2024-09-03,Smartphones,200933.97
2023-03-05,Tablets,193842.76
2023-04-05,TVs,221100.00999999995
2024-05-07,TVs,184118.69
2022-09-22,TVs,262945.0
2024-02-28,Smartphones,273143.66
2024-01-27,TVs,234783.40000000002
2020-12-10,Tablets,243566.78000000003
2022-08-21,Smartphones,163999.8
2021-02-16,TVs,299163.14
2020-07-29,Smartphones,148043.1
2023-01-16,Accessories,184686.28
2022-07-05,Tablets,218316.51
2024-02-11,Smartphones,325590.67000000004
2025-01-08,Laptops,165834.1
2024-03-09,TVs,268050.37000000005
2024-08-26,Smartphones,250216.02
2020-11-12,Accessories,300915.19999999995
2021-03-20,Smartphones,225823.48000000004
2023-12-10,Laptops,331286.45000000007
2022-01-04,Tablets,217005.36
2020-11-27,Laptops,168920.66999999998
2023-11-13,Tablets,282106.59
2024-08-15,Tablets,237399.65999999997
2021-12-26,Accessories,292778.11
2023-11-30,Laptops,311291.42999999993
2023-12-03,Tablets,321458.52
2025-02-11,Accessories,185345.0
2022-12-14,Tablets,221523.29000000004
2023-01-14,Smartphones,234397.4
2024-07-17,Tablets,173722.55
2023-10-05,Accessories,319421.51
2023-11-22,TVs,285106.62
2023-02-09,Tablets,260566.87000000002
2022-08-25,Laptops,322704.22000000003
2023-03-09,Accessories,254574.34000000003
2021-10-01,Smartphones,197497.88
2021-02-09,Laptops,242526.38
2024-12-27,Tablets,213164.47000000003
2021-05-22,Laptops,287112.12999999995
2020-09-17,Tablets,188396.09999999998
2025-06-08,Smartphones,229629.05
2023-03-02,Smartphones,317406.0999999999
2022-06-22,Laptops,341224.02
2024-03-25,Laptops,282131.99
2022-02-23,TVs,308086.76
2021-12-06,Tablets,302374.31
2023-10-02,Tablets,157440.68
2023-02-17,Accessories,259459.94999999998
2024-10-01,Laptops,396526.94999999995
2022-09-09,Smartphones,294034.5
2022-08-20,Smartphones,190582.77000000002
2022-02-05,Tablets,199843.09000000003
2020-11-01,Accessories,347746.17
2021-01-06,Tablets,298645.88
2024-08-30,Tablets,301082.05999999994
2025-02-26,Tablets,223876.25
2021-05-15,Laptops,202983.07999999996
2023-12-26,Smartphones,336570.54
2023-05-22,TVs,278996.57
2020-10-29,Tablets,178502.32
2024-06-10,Laptops,216650.38000000003
2024-10-08,Smartphones,216811.55
2023-12-16,Laptops,273741.14
2025-06-02,Laptops,293703.36
2024-02-05,Smartphones,238665.80000000002
2021-05-04,Tablets,104695.65
2023-01-17,Accessories,340360.51
2025-01-23,Accessories,250451.87000000002
2025-02-12,Tablets,237118.84999999998
2023-11-03,Laptops,189596.09999999998
2021-01-22,Laptops,315524.70999999996
2021-08-27,Smartphones,204802.88999999998
2020-08-15,Accessories,190185.31
2023-01-09,Tablets,292482.08
2022-06-07,TVs,145976.0
2023-09-08,TVs,219827.72000000003
2021-05-11,Smartphones,351686.1
2025-01-27,Tablets,215510.14999999997
2022-01-19,Smartphones,205376.71
2021-02-04,TVs,303886.52999999997
2020-07-30,Tablets,155640.27
2021-07-31,Accessories,218956.71
2024-07-07,Tablets,248662.16
2023-07-21,TVs,257425.72000000003
2020-11-25,Smartphones,268822.08
2023-11-13,Smartphones,253354.44999999998
2023-06-15,Laptops,272571.43000000005
2021-02-07,Tablets,251136.67
2024-02-20,Laptops,145270.75
2021-12-13,Laptops,210914.22
2024-06-30,Tablets,238635.54000000004
2021-07-20,Laptops,146239.24000000002
2023-06-07,Laptops,178449.84999999998
2021-12-25,Accessories,189709.2
2021-01-15,Laptops,272579.41000000003
2024-07-02,TVs,196856.75
2021-08-05,Tablets,254035.27
2021-06-17,Smartphones,239966.81
2022-04-21,Smartphones,283111.35000000003
2022-03-29,Laptops,254268.5
2022-06-04,Laptops,215243.49999999997
2022-06-08,Tablets,279001.25
2023-03-25,Tablets,247205.01
2020-11-22,TVs,231683.29000000004
2024-10-12,Laptops,234263.80999999997
2024-10-16,Accessories,322836.8
2023-11-16,Laptops,257863.24
2021-10-08,Accessories,289722.93
2021-06-27,Accessories,157331.83
2025-06-04,Tablets,322694.8
2025-01-29,Tablets,282570.73
2024-02-24,Laptops,243011.36000000004
2025-05-28,Tablets,150846.81
2020-08-08,Accessories,246577.00000000003
2021-10-13,Laptops,223548.21
2023-07-19,Smartphones,282343.96
2023-02-26,Tablets,275942.07999999996
2021-03-30,Smartphones,244267.7
2021-08-30,Smartphones,204270.11000000002
2024-03-28,Accessories,320403.81
2025-02-19,Laptops,238755.77000000002
2024-10-08,Laptops,370984.78
2021-05-02,Tablets,242749.67
2023-12-24,TVs,230852.36000000004
2025-01-27,TVs,266761.32
2021-06-17,TVs,174286.91
2021-03-17,Laptops,228030.16999999998
2024-08-09,Smartphones,252360.13
2023-03-26,TVs,300523.12
2021-02-11,Tablets,318175.74
2022-08-14,Laptops,349835.99000000005
2021-04-16,TVs,182347.88999999998
2021-10-23,TVs,181279.55000000002
2024-05-07,Smartphones,249220.37
2022-11-13,Laptops,235027.93999999997
2024-03-28,Laptops,236279.25999999995
2020-11-06,Tablets,270440.69999999995
2021-12-15,Smartphones,296365.08999999997
2023-01-11,Accessories,159281.68
2021-03-04,Accessories,301430.55
2024-09-05,Tablets,279746.52999999997
2020-07-12,Accessories,254740.70999999996
2021-04-19,Accessories,219420.76999999996
2021-11-27,Laptops,280475.80000000005
2020-10-16,Laptops,253885.33
2022-05-15,Laptops,285045.27
2020-08-14,Accessories,209601.06999999998
2023-11-09,TVs,255922.87000000002
2022-01-19,Tablets,248946.00999999998
2025-06-09,Laptops,293894.29000000004
2023-01-29,TVs,120518.88999999998
2023-08-20,Accessories,263066.25
2025-05-02,Laptops,210746.8
2024-07-19,Accessories,275381.19999999995
2022-01-06,Tablets,360103.57000000007
2023-01-11,TVs,193782.40000000002
2024-11-03,Accessories,208564.16999999998
2022-06-10,Tablets,163912.36000000002
2023-07-20,TVs,239110.87000000002
2020-10-11,Accessories,189380.61000000002
2021-08-03,Smartphones,281468.08999999997
2021-04-27,Laptops,344575.27999999997
2022-06-01,Tablets,253701.56
2025-02-14,Laptops,265251.31
2023-08-14,Accessories,220084.87000000002
2023-06-21,TVs,183203.72
2022-04-19,Smartphones,383298.9
2023-06-06,Smartphones,264061.44
2023-02-13,Laptops,224945.13999999998
2023-10-26,Smartphones,234004.31
2022-06-25,Accessories,211302.52
2023-08-16,Accessories,290898.02
2021-01-11,TVs,251230.13999999998
2022-08-31,TVs,280123.47
2022-01-11,Smartphones,253300.99000000002
2023-07-09,Accessories,181366.09999999998
2022-12-16,Smartphones,256613.24
2022-06-13,Tablets,366891.64
2021-11-14,Laptops,240860.85999999993
2022-11-21,TVs,246389.96000000002
2024-05-10,Tablets,227807.76
2022-12-24,Tablets,254954.74
2022-12-16,Accessories,315782.00999999995
2024-05-01,Smartphones,275995.46
2020-11-24,Smartphones,231539.91
2023-02-14,Laptops,337896.32999999996
2024-11-20,Smartphones,236115.16999999998
2022-08-14,TVs,238312.78999999998
2022-11-29,Smartphones,215689.46000000002
2022-12-08,TVs,275791.94
2022-04-24,Laptops,247561.04
2023-11-12,Laptops,186095.36999999997
2024-03-12,Tablets,250009.72000000003
2023-11-17,Accessories,243051.34
2025-04-23,TVs,280057.19
2023-05-09,Laptops,294088.96
2024-09-27,Laptops,330828.71
2023-01-05,Smartphones,189726.57
2021-01-24,Smartphones,310684.77
2024-06-08,Smartphones,342268.03
2024-06-08,Accessories,224860.03999999998
2023-12-19,TVs,236018.06999999998
2021-01-15,Smartphones,275619.82999999996
2024-10-31,Smartphones,191062.13
2025-01-17,Tablets,302451.5299999999
2021-01-04,Smartphones,279257.94999999995
2022-01-18,Laptops,191705.97
2025-01-03,Tablets,265035.68
2022-08-04,TVs,316492.68999999994
2021-06-10,TVs,237022.75
2023-09-30,Laptops,165468.81999999998
2022-05-13,Tablets,176416.63
2021-08-13,Tablets,287660.32
2021-03-28,Tablets,329736.58
2025-01-18,Tablets,264916.14
2023-11-24,Laptops,184215.02
2025-01-06,Laptops,261227.04000000004
2020-10-18,Tablets,243399.33000000002
